dataset,noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
digits,clean,fisher_rao,3,0.9805555555555556,0.0122385106152957,0.0291756261140108,0.0725340172648429
digits,clean,kl,4,0.9833333333333332,0.0035767765508757,0.0284047704190015,0.0693284571170806
digits,clean,gce,4,0.9833333333333332,0.0057869450913535,0.0278330463916063,0.0715918093919754
digits,clean,mae,4,0.9833333333333332,0.0080651238560677,0.02757647074759,0.0699464902281761
digits,clean,sce,4,0.9805555555555556,0.0084979251027107,0.028129169717431,0.0782478749752044
digits,clean,hellinger,4,0.9833333333333332,0.0030985272592968,0.0286306589841842,0.0745113939046859
digits,clean,fisher_rao,4,0.9833333333333332,0.0107402069701088,0.0287209954112768,0.0711086615920066
digits,clean,kl,5,0.975,0.0101679757237434,0.0281232092529535,0.0542634017765522
digits,clean,gce,5,0.975,0.0142851044734319,0.0324544608592987,0.0580263473093509
digits,clean,mae,5,0.975,0.017852700750033,0.0332459509372711,0.0577344521880149
digits,clean,sce,5,0.975,0.0140912372204992,0.0334688127040863,0.0583985336124897
digits,clean,hellinger,5,0.975,0.0130312326053778,0.0322119519114494,0.0591096654534339
digits,clean,fisher_rao,5,0.975,0.0104772986637221,0.030974430963397,0.0558490604162216
digits,clean,kl,6,0.9833333333333332,0.0023968170914385,0.0256473142653703,0.0846852883696556
digits,clean,gce,6,0.9861111111111112,0.0086558599438931,0.0248951017856597,0.0873663648962974
